threshold,treat_all,treat_none,intake,intake + item,intake + group,intake + group + item,delta_honest,delta_naive,odds
0.05,0.3389501472387429,0.0,0.3389501472387429,0.3388073468852155,0.3389501472387429,0.3389076930795861,-4.245415915676842e-05,-0.00014280035352737253,0.052631578947368425
0.075,0.3210839350019522,0.0,0.32108393500195215,0.3214763491217257,0.32108393500195215,0.32136932708906013,0.0002853920871079829,0.000392414119773532,0.08108108108108107
0.1,0.30222515541867306,0.0,0.30222515541867306,0.3036673103403323,0.3030399322105709,0.3038547090024688,0.0008147767918978976,0.0014421549216592222,0.11111111111111112
0.125,0.282288731287778,0.0,0.282288731287778,0.285106695020899,0.2834201070616705,0.28605998386741954,0.002639876805749064,0.0028179637331210428,0.14285714285714285
0.15,0.2611795763256538,0.0,0.2611795763256538,0.2659848422759879,0.26264617455107,0.2669683257918552,0.004322151240785221,0.004805265950334092,0.17647058823529413
0.175,0.23879107863855242,0.0,0.2387910786385524,0.2510638392430576,0.2406132158277058,0.2523037813790912,0.011690565551385396,0.01227276060450519,0.21212121212121213
0.2,0.2150032998460072,0.0,0.2150032998460072,0.23430739898804723,0.21872479284300067,0.23592065703600498,0.017195864193004312,0.019304099142040038,0.25
0.225,0.18968082564749128,0.0,0.18968082564749128,0.21971770349641745,0.19411610253887077,0.2204344442420644,0.026318341703193637,0.03003687784892617,0.2903225806451613
0.25,0.16267018650240767,0.0,0.16267018650240767,0.20246388501869914,0.1679499401139058,0.20202390555107427,0.03407396543716848,0.03979369851629147,0.3333333333333333
0.275,0.13379674465766309,0.0,0.13379674465766309,0.1873124081795723,0.13975922502926874,0.18717080559229074,0.047411580563022,0.0535156635219092,0.37931034482758624
0.3,0.10286091410972248,0.0,0.10286091410972246,0.1727338438491918,0.10769021255198566,0.17261861113148053,0.06492839857949487,0.06987292973946933,0.4285714285714286
0.325,0.06963354055823073,0.0,0.06956021064695997,0.1623795827799641,0.07654013183088493,0.1634659518358279,0.08692582000494298,0.09281937213300412,0.48148148148148145
0.35,0.0338502151950858,0.0,0.03385585595749121,0.14603369791461016,0.08744873957164051,0.1508057829096181,0.06335704333797759,0.11217784195711894,0.5384615384615384
0.375,-0.0047957761971108015,0.0,0.003255848060423887,0.13580699567353524,0.08965314951968908,0.13626164112341424,0.046608491603725155,0.13255114761311135,0.6
0.4,-0.04666226687199049,0.0,0.026032118501136597,0.12319425093495635,0.08459827430275475,0.12527193175429588,0.040673657451541126,0.09716213243381976,0.6666666666666667
0.425,-0.09216932195338134,0.0,0.016738349311814716,0.10092108745070157,0.09238931168719372,0.10174365775973931,0.009354346072545594,0.08418273813888685,0.7391304347826088
0.45,-0.14181338204217137,0.0,0.01974574519855741,0.08543601298606066,0.09022912264094343,0.08943582632810469,-0.0007932963128387399,0.06569026778750325,0.8181818181818181
0.475,-0.19618544785370334,0.0,0.01414568907419242,0.07554726811161512,0.08794002311638156,0.07761098132880784,-0.010329041787573726,0.0614015790374227,0.9047619047619047
0.5,-0.25599472024638853,0.0,-0.0021265674268534135,0.08198284080076262,0.08557600645303219,0.06944342597345457,-0.01613258047957762,0.08410940822761603,1.0
0.525,-0.32209970552251427,0.0,-0.0024198870719366436,0.07383936118068875,0.08392415371493189,0.06282443661401065,-0.021099717100921248,0.0762592482526254,1.105263157894737
0.55,-0.39554968916265415,0.0,-0.002745797788695788,0.04799850081070288,0.05582850578084133,0.05802025535104656,0.00219174957020523,0.05074429859939867,1.2222222222222225
0.575,-0.47764084734869233,0.0,-0.0009446617981356948,0.0358324454662704,0.05183993374426841,0.03930051891696035,-0.012539414827308061,0.0367771072644061,1.352941176470588
0.6,-0.5699934003079856,0.0,-0.0010632837134267065,0.0387548581066217,0.049681014885971986,0.05144093275647137,0.0017599178704993876,0.039818141820048406,1.4999999999999998
0.625,-0.6746596269951848,0.0,0.0,0.03749602796313949,0.04788443205983721,0.05203979369851629,0.004155361638679078,0.03749602796313949,1.6666666666666667
0.65,-0.7942781717805554,0.0,0.0,0.03755539027226348,0.045328360866969064,0.049738631244827615,0.004410270377858551,0.03755539027226348,1.8571428571428574
0.675,-0.9322995696098291,0.0,0.0,0.04253698929947371,0.043913335326402715,0.05512717098843079,0.011213835662028077,0.04253698929947371,2.0769230769230775
0.7,-1.0933245337439808,0.0,0.0,0.03620053286402191,0.040722544059055024,0.04822663831243432,0.007504094253379293,0.03620053286402191,2.333333333333333
0.725,-1.2836267640843428,0.0,0.0,0.03363843020659036,0.037591579059643894,0.045944522588945845,0.008352943529301951,0.03363843020659036,2.6363636363636362
0.75,-1.5119894404927772,0.0,0.0,0.02999193370976021,0.032558480604238466,0.04759111241475398,0.015032631810515514,0.02999193370976021,3.0
0.775,-1.7910993783253082,0.0,0.0,0.03400878329381665,0.027311318064416244,0.04548084052373852,0.018169522459322275,0.03400878329381665,3.444444444444445
0.8,-2.1399868006159717,0.0,0.0,0.030871892645009894,0.020532375155826052,0.041504729779276966,0.020972354623450915,0.030871892645009894,4.000000000000001
