org,field,field_class,present_in_export,population,distinct,entropy,top1_share
ServiceNow-IT,category,intake,True,0.999719078577735,52,4.12935686172016,0.14282846935088916
ServiceNow-IT,subcategory,intake,True,0.9996789469459828,245,4.821603494772849,0.26206342834203133
ServiceNow-IT,location,intake,True,0.9997592102094871,224,4.201300939639064,0.22294476557482337
ServiceNow-IT,contact_type,intake,True,1.0,5,0.08635557667096862,0.9907697246970062
ServiceNow-IT,impact,intake,True,1.0,3,0.3179702906967602,0.9529657275864837
ServiceNow-IT,urgency,intake,True,1.0,3,0.33217171150244446,0.9506782245766113
ServiceNow-IT,priority,intake,True,1.0,4,0.4050210316051448,0.9417288706958825
ServiceNow-IT,opened_by,intake,True,0.971346014928967,207,4.5564752939094895,0.29804990910593293
ServiceNow-IT,caller_id,intake,True,0.9998796051047436,5244,11.608809686386003,0.01757977122215533
ServiceNow-IT,u_symptom,descriptive,True,0.7656714021992135,397,4.163267786311665,0.4851407306462603
ServiceNow-IT,knowledge,descriptive,True,1.0,2,0.5907680483820933,0.8574925756481259
ServiceNow-IT,u_priority_confirmation,descriptive,True,1.0,2,0.7810670841682603,0.7682398266313508
ServiceNow-IT,notify,descriptive,True,1.0,2,0.015713885917125962,0.9985552612569227
ServiceNow-IT,assignment_group,workflow,True,0.9134360703106188,70,3.9238679526394775,0.41492025833662843
ServiceNow-IT,assigned_to,workflow,True,0.9709045669796934,220,6.134873072249456,0.1232587938659943
ServiceNow-IT,incident_state,workflow,True,1.0,2,0.0006440150392805475,0.9999598683682479
ServiceNow-IT,active,workflow,True,1.0,2,0.0006440150392805475,0.9999598683682479
ServiceNow-IT,cmdb_ci,configuration,True,0.0021671081146159565,47,5.481648844715995,0.05555555555555555
ServiceNow-IT,problem_id,relational,True,0.015250020065815884,244,7.235900376419063,0.08421052631578947
ServiceNow-IT,rfc,relational,True,0.00706316718837785,174,7.436704345910025,0.011363636363636364
ServiceNow-IT,caused_by,relational,True,0.00012039489525639269,3,1.584962500721156,0.3333333333333333
ServiceNow-IT,vendor,relational,True,0.0006019744762821855,2,0.9709505944546686,0.6
ServiceNow-IT,made_sla,outcome,True,1.0,2,0.947392406363843,0.6342001765791797
ServiceNow-IT,closed_code,outcome,True,0.9957059154025203,17,1.9418861438844814,0.599814598363629
ServiceNow-IT,resolved_by,outcome,True,0.9960269684565375,216,6.105602364762032,0.1237358475361618
ServiceNow-IT,reassignment_count,outcome,True,1.0,22,1.92128663103893,0.5437434786098403
ServiceNow-IT,reopen_count,outcome,True,1.0,7,0.09501984684592858,0.9889638012681595
VolvoIT,impact,intake,True,1.0,4,1.178416934091187,0.535477892507281
VolvoIT,product,intake,True,1.0,704,7.243981064387305,0.11675933280381255
VolvoIT,organization involved,descriptive,True,1.0,22,1.5979546153904363,0.6791104050833995
VolvoIT,organization country,descriptive,True,1.0,23,2.749189881038472,0.3831082870002648
VolvoIT,resource country,descriptive,True,1.0,17,1.7047257912833924,0.6969817315329627
VolvoIT,org:group,workflow,True,1.0,477,6.546434045817893,0.1133174477098226
VolvoIT,org:resource,workflow,True,1.0,256,3.074937202223117,0.69684935133704
VolvoIT,org:role,workflow,True,0.9054805401111994,21,2.3456155561323904,0.5736842105263158
VolvoIT,concept:name,outcome,True,1.0,2,0.011993599049507317,0.9989409584326184
Rabobank,Category,intake,True,0.9956632271571706,4,0.7045307681266794,0.809938634510578
Rabobank,Impact,intake,True,0.9956632271571706,5,1.5272689672918276,0.4844655194610136
Rabobank,Urgency,intake,True,0.9956632271571706,6,1.527081512821093,0.4846586276445093
Rabobank,Priority,intake,True,0.9956632271571706,5,1.5296125936126819,0.4874265116079475
Rabobank,Alert Status,descriptive,True,0.9956632271571706,1,-0.0,1.0
Rabobank,KM number,descriptive,True,0.9956632271571706,1825,8.910397731799145,0.02373085010513668
Rabobank,Status,workflow,True,0.9956632271571706,2,0.0026611966117262137,0.9998068918165043
Rabobank,Service Component WBS (aff),workflow,True,0.9956632271571706,274,5.204757435276567,0.2862721537999399
Rabobank,CI Name (aff),configuration,True,0.9956632271571706,3019,7.505269593171544,0.06544221774020513
Rabobank,CI Type (aff),configuration,True,0.9956632271571706,13,1.42014266948731,0.7059176930009011
Rabobank,CI Subtype (aff),configuration,True,0.9956632271571706,65,2.5324715941490163,0.4036175599708192
Rabobank,CI Name (CBy),relational,True,0.9720139289452883,3651,7.55623898069568,0.06483658981516077
Rabobank,CI Type (CBy),relational,True,0.9720139289452883,13,1.7021102369657026,0.6473988439306358
Rabobank,Related Change,relational,True,0.011963511290563833,232,6.093311934197482,0.19642857142857142
Rabobank,Related Interaction,relational,True,0.9932277980730202,43059,14.637133877064294,0.07386216983567065
Rabobank,# Related Changes,relational,True,0.011963511290563833,4,0.2834571741526093,0.9571428571428572
Rabobank,# Related Incidents,relational,True,0.026106090709051677,24,0.9874009267297686,0.8649754500818331
Rabobank,Closure Code,outcome,True,0.9518682304684997,13,2.4618145302078,0.36964718556423376
Rabobank,Handle Time (Hours),outcome,True,0.9956418637441518,31376,14.61190110454243,0.005063834352537281
Rabobank,# Reassignments,outcome,True,0.9956418637441518,41,2.026142522100116,0.5893788220148053
